emoji,hexcode,unicodeVersion,label_en,label_es,label_pt,tags_en,tags_es,tags_pt,group_en,group_es,group_pt,subgroup_en,subgroup_es,subgroup_pt,whatsapp_ios,whatsapp_android,whatsapp_note
🧑‍🦯‍➡️,1F9D1-200D-1F9AF-200D-27A1-FE0F,15.1,person with white cane: facing right,persona con bastón: hacia la derecha,pessoa com bengala para cego: de frente para a direita,accessibility|blind|cane|facing|person|probing|right|white,accesibilidad|ciego|derecha|hacia|invidente|la|persona con bastón,a|acessibilidade|cego|de|direita|frente|para|pessoa com bengala para cego,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧑🏻‍🦯‍➡️,1F9D1-1F3FB-200D-1F9AF-200D-27A1-FE0F,15.1,"person with white cane: light skin tone, facing right",persona con bastón: tono de piel claro y hacia la derecha,pessoa com bengala para cego: pele clara e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧑🏼‍🦯‍➡️,1F9D1-1F3FC-200D-1F9AF-200D-27A1-FE0F,15.1,"person with white cane: medium-light skin tone, facing right",persona con bastón: tono de piel claro medio y hacia la derecha,pessoa com bengala para cego: pele morena clara e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧑🏽‍🦯‍➡️,1F9D1-1F3FD-200D-1F9AF-200D-27A1-FE0F,15.1,"person with white cane: medium skin tone, facing right",persona con bastón: tono de piel medio y hacia la derecha,pessoa com bengala para cego: pele morena e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧑🏾‍🦯‍➡️,1F9D1-1F3FE-200D-1F9AF-200D-27A1-FE0F,15.1,"person with white cane: medium-dark skin tone, facing right",persona con bastón: tono de piel oscuro medio y hacia la derecha,pessoa com bengala para cego: pele morena escura e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧑🏿‍🦯‍➡️,1F9D1-1F3FF-200D-1F9AF-200D-27A1-FE0F,15.1,"person with white cane: dark skin tone, facing right",persona con bastón: tono de piel oscuro y hacia la derecha,pessoa com bengala para cego: pele escura e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👨‍🦯,1F468-200D-1F9AF,12,man with white cane,hombre con bastón,homem com bengala para cego,accessibility|blind|cane|man|probing|white,accesibilidad|bastón|ciego|hombre|invidente,accessibilidade|cego|homem,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👨🏻‍🦯,1F468-1F3FB-200D-1F9AF,12,man with white cane: light skin tone,hombre con bastón: tono de piel claro,homem com bengala para cego: pele clara,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👨🏼‍🦯,1F468-1F3FC-200D-1F9AF,12,man with white cane: medium-light skin tone,hombre con bastón: tono de piel claro medio,homem com bengala para cego: pele morena clara,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👨🏽‍🦯,1F468-1F3FD-200D-1F9AF,12,man with white cane: medium skin tone,hombre con bastón: tono de piel medio,homem com bengala para cego: pele morena,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👨🏾‍🦯,1F468-1F3FE-200D-1F9AF,12,man with white cane: medium-dark skin tone,hombre con bastón: tono de piel oscuro medio,homem com bengala para cego: pele morena escura,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👨🏿‍🦯,1F468-1F3FF-200D-1F9AF,12,man with white cane: dark skin tone,hombre con bastón: tono de piel oscuro,homem com bengala para cego: pele escura,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👨‍🦯‍➡️,1F468-200D-1F9AF-200D-27A1-FE0F,15.1,man with white cane: facing right,hombre con bastón: hacia la derecha,homem com bengala para cego: de frente para a direita,accessibility|blind|cane|facing|man|probing|right|white,accesibilidad|bastón|ciego|derecha|hacia|hombre|hombre con bastón|invidente|la,a|accessibilidade|cego|de|direita|frente|homem|homem com bengala para cego|para,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👨🏻‍🦯‍➡️,1F468-1F3FB-200D-1F9AF-200D-27A1-FE0F,15.1,"man with white cane: light skin tone, facing right",hombre con bastón: tono de piel claro y hacia la derecha,homem com bengala para cego: pele clara e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👨🏼‍🦯‍➡️,1F468-1F3FC-200D-1F9AF-200D-27A1-FE0F,15.1,"man with white cane: medium-light skin tone, facing right",hombre con bastón: tono de piel claro medio y hacia la derecha,homem com bengala para cego: pele morena clara e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👨🏽‍🦯‍➡️,1F468-1F3FD-200D-1F9AF-200D-27A1-FE0F,15.1,"man with white cane: medium skin tone, facing right",hombre con bastón: tono de piel medio y hacia la derecha,homem com bengala para cego: pele morena e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👨🏾‍🦯‍➡️,1F468-1F3FE-200D-1F9AF-200D-27A1-FE0F,15.1,"man with white cane: medium-dark skin tone, facing right",hombre con bastón: tono de piel oscuro medio y hacia la derecha,homem com bengala para cego: pele morena escura e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👨🏿‍🦯‍➡️,1F468-1F3FF-200D-1F9AF-200D-27A1-FE0F,15.1,"man with white cane: dark skin tone, facing right",hombre con bastón: tono de piel oscuro y hacia la derecha,homem com bengala para cego: pele escura e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👩‍🦯,1F469-200D-1F9AF,12,woman with white cane,mujer con bastón,mulher com bengala para cego,accessibility|blind|cane|probing|white|woman,accesibilidad|bastón|ciega|invidente|mujer,accessibilidade|cega|deficiência visual|mulher,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👩🏻‍🦯,1F469-1F3FB-200D-1F9AF,12,woman with white cane: light skin tone,mujer con bastón: tono de piel claro,mulher com bengala para cego: pele clara,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👩🏼‍🦯,1F469-1F3FC-200D-1F9AF,12,woman with white cane: medium-light skin tone,mujer con bastón: tono de piel claro medio,mulher com bengala para cego: pele morena clara,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👩🏽‍🦯,1F469-1F3FD-200D-1F9AF,12,woman with white cane: medium skin tone,mujer con bastón: tono de piel medio,mulher com bengala para cego: pele morena,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👩🏾‍🦯,1F469-1F3FE-200D-1F9AF,12,woman with white cane: medium-dark skin tone,mujer con bastón: tono de piel oscuro medio,mulher com bengala para cego: pele morena escura,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👩🏿‍🦯,1F469-1F3FF-200D-1F9AF,12,woman with white cane: dark skin tone,mujer con bastón: tono de piel oscuro,mulher com bengala para cego: pele escura,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👩‍🦯‍➡️,1F469-200D-1F9AF-200D-27A1-FE0F,15.1,woman with white cane: facing right,mujer con bastón: hacia la derecha,mulher com bengala para cego: de frente para a direita,accessibility|blind|cane|facing|probing|right|white|woman,accesibilidad|bastón|ciega|derecha|hacia|invidente|la|mujer|mujer con bastón,a|accessibilidade|cega|de|deficiência visual|direita|frente|mulher|mulher com bengala para cego|para,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👩🏻‍🦯‍➡️,1F469-1F3FB-200D-1F9AF-200D-27A1-FE0F,15.1,"woman with white cane: light skin tone, facing right",mujer con bastón: tono de piel claro y hacia la derecha,mulher com bengala para cego: pele clara e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👩🏼‍🦯‍➡️,1F469-1F3FC-200D-1F9AF-200D-27A1-FE0F,15.1,"woman with white cane: medium-light skin tone, facing right",mujer con bastón: tono de piel claro medio y hacia la derecha,mulher com bengala para cego: pele morena clara e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👩🏽‍🦯‍➡️,1F469-1F3FD-200D-1F9AF-200D-27A1-FE0F,15.1,"woman with white cane: medium skin tone, facing right",mujer con bastón: tono de piel medio y hacia la derecha,mulher com bengala para cego: pele morena e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👩🏾‍🦯‍➡️,1F469-1F3FE-200D-1F9AF-200D-27A1-FE0F,15.1,"woman with white cane: medium-dark skin tone, facing right",mujer con bastón: tono de piel oscuro medio y hacia la derecha,mulher com bengala para cego: pele morena escura e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👩🏿‍🦯‍➡️,1F469-1F3FF-200D-1F9AF-200D-27A1-FE0F,15.1,"woman with white cane: dark skin tone, facing right",mujer con bastón: tono de piel oscuro y hacia la derecha,mulher com bengala para cego: pele escura e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧑‍🦼,1F9D1-200D-1F9BC,12.1,person in motorized wheelchair,persona en silla de ruedas eléctrica,pessoa em cadeira de rodas motorizada,accessibility|motorized|person|wheelchair,accesibilidad|silla de ruedas,acessibilidade|cadeira de rodas,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
🧑🏻‍🦼,1F9D1-1F3FB-200D-1F9BC,12.1,person in motorized wheelchair: light skin tone,persona en silla de ruedas eléctrica: tono de piel claro,pessoa em cadeira de rodas motorizada: pele clara,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
🧑🏼‍🦼,1F9D1-1F3FC-200D-1F9BC,12.1,person in motorized wheelchair: medium-light skin tone,persona en silla de ruedas eléctrica: tono de piel claro medio,pessoa em cadeira de rodas motorizada: pele morena clara,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
🧑🏽‍🦼,1F9D1-1F3FD-200D-1F9BC,12.1,person in motorized wheelchair: medium skin tone,persona en silla de ruedas eléctrica: tono de piel medio,pessoa em cadeira de rodas motorizada: pele morena,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
🧑🏾‍🦼,1F9D1-1F3FE-200D-1F9BC,12.1,person in motorized wheelchair: medium-dark skin tone,persona en silla de ruedas eléctrica: tono de piel oscuro medio,pessoa em cadeira de rodas motorizada: pele morena escura,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
🧑🏿‍🦼,1F9D1-1F3FF-200D-1F9BC,12.1,person in motorized wheelchair: dark skin tone,persona en silla de ruedas eléctrica: tono de piel oscuro,pessoa em cadeira de rodas motorizada: pele escura,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
🧑‍🦼‍➡️,1F9D1-200D-1F9BC-200D-27A1-FE0F,15.1,person in motorized wheelchair: facing right,persona en silla de ruedas eléctrica: hacia la derecha,pessoa em cadeira de rodas motorizada: de frente para a direita,accessibility|facing|motorized|person|right|wheelchair,accesibilidad|derecha|hacia|la|persona en silla de ruedas eléctrica|silla de ruedas,a|acessibilidade|cadeira de rodas|de|direita|frente|para|pessoa em cadeira de rodas motorizada,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧑🏻‍🦼‍➡️,1F9D1-1F3FB-200D-1F9BC-200D-27A1-FE0F,15.1,"person in motorized wheelchair: light skin tone, facing right",persona en silla de ruedas eléctrica: tono de piel claro y hacia la derecha,pessoa em cadeira de rodas motorizada: pele clara e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧑🏼‍🦼‍➡️,1F9D1-1F3FC-200D-1F9BC-200D-27A1-FE0F,15.1,"person in motorized wheelchair: medium-light skin tone, facing right",persona en silla de ruedas eléctrica: tono de piel claro medio y hacia la derecha,pessoa em cadeira de rodas motorizada: pele morena clara e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧑🏽‍🦼‍➡️,1F9D1-1F3FD-200D-1F9BC-200D-27A1-FE0F,15.1,"person in motorized wheelchair: medium skin tone, facing right",persona en silla de ruedas eléctrica: tono de piel medio y hacia la derecha,pessoa em cadeira de rodas motorizada: pele morena e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧑🏾‍🦼‍➡️,1F9D1-1F3FE-200D-1F9BC-200D-27A1-FE0F,15.1,"person in motorized wheelchair: medium-dark skin tone, facing right",persona en silla de ruedas eléctrica: tono de piel oscuro medio y hacia la derecha,pessoa em cadeira de rodas motorizada: pele morena escura e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
🧑🏿‍🦼‍➡️,1F9D1-1F3FF-200D-1F9BC-200D-27A1-FE0F,15.1,"person in motorized wheelchair: dark skin tone, facing right",persona en silla de ruedas eléctrica: tono de piel oscuro y hacia la derecha,pessoa em cadeira de rodas motorizada: pele escura e de frente para a direita,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Rendered in WhatsApp when iOS/Android Unicode support includes this version.
👨‍🦼,1F468-200D-1F9BC,12,man in motorized wheelchair,hombre en silla de ruedas eléctrica,homem em cadeira de rodas motorizada,accessibility|man|motorized|wheelchair,accesibilidad|hombre|silla de ruedas,acessibilidade|cadeira de rodas|homem,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👨🏻‍🦼,1F468-1F3FB-200D-1F9BC,12,man in motorized wheelchair: light skin tone,hombre en silla de ruedas eléctrica: tono de piel claro,homem em cadeira de rodas motorizada: pele clara,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👨🏼‍🦼,1F468-1F3FC-200D-1F9BC,12,man in motorized wheelchair: medium-light skin tone,hombre en silla de ruedas eléctrica: tono de piel claro medio,homem em cadeira de rodas motorizada: pele morena clara,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👨🏽‍🦼,1F468-1F3FD-200D-1F9BC,12,man in motorized wheelchair: medium skin tone,hombre en silla de ruedas eléctrica: tono de piel medio,homem em cadeira de rodas motorizada: pele morena,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👨🏾‍🦼,1F468-1F3FE-200D-1F9BC,12,man in motorized wheelchair: medium-dark skin tone,hombre en silla de ruedas eléctrica: tono de piel oscuro medio,homem em cadeira de rodas motorizada: pele morena escura,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
👨🏿‍🦼,1F468-1F3FF-200D-1F9BC,12,man in motorized wheelchair: dark skin tone,hombre en silla de ruedas eléctrica: tono de piel oscuro,homem em cadeira de rodas motorizada: pele escura,,,,people & body,personas y cuerpo,pessoas e corpo,activities,actividades,atividades,true,true,Widely supported in WhatsApp on modern iOS/Android.
